ANO,IBGE7,NOME,TTREVA_EF_TOTAL,TTREVA_EM_TOTAL,TXMOINF,TXBRUTAMORT,TXCOBPLP,PINTERDRSAI,REN_PIBPC_D,REN_PVAAGR,REN_PVAIND,POP_TOT
2013,1400050,Alto Alegre,5.20,9.10,71.55,7.85,0.34,4.33,9.24,18.41,3.56,16428
2013,1400100,Boa Vista,2.20,8.50,11.97,3.99,8.74,1.47,18.16,0.50,15.20,308996
2013,1400159,Bonfim,5.60,12.80,18.35,3.99,0.19,5.20,13.93,33.83,7.63,11525
2013,1400175,Cantá,4.60,10.90,11.94,2.60,0.40,1.61,9.96,14.12,7.52,15393
2013,1400209,Caracaraí,6.30,19.50,47.17,4.37,0.72,5.15,10.99,12.86,5.92,19696
2013,1400233,Caroebe,4.70,14.20,13.25,3.74,0.18,2.35,11.75,25.49,5.63,8826
2013,1400282,Iracema,6.60,11.60,27.21,3.28,0.38,2.33,9.78,12.58,10.36,9762
2013,1400308,Mucajaí,3.60,12.30,19.94,5.03,0.64,2.14,11.03,11.27,7.20,15890
2013,1400407,Normandia,5.20,13.40,18.37,1.95,0.05,7.25,8.83,13.61,3.59,9754
2013,1400456,Pacaraima,3.50,8.30,22.79,2.89,0.50,7.47,9.60,3.72,5.35,11423
2013,1400472,Rorainópolis,5.50,16.20,9.48,2.81,0.34,1.67,12.84,14.57,9.46,26326
2013,1400506,São João da Baliza,3.30,8.80,25.00,3.29,0.88,9.94,12.63,12.51,9.29,7284
2013,1400605,São Luiz,2.90,13.20,0.00,2.91,1.30,7.24,10.81,17.70,6.14,7210
2013,1400704,Uiramutã,7.10,8.10,17.43,2.96,0.01,5.57,7.47,4.22,2.28,9127
2013,1500107,Abaetetuba,3.40,9.20,15.76,4.12,6.19,12.64,5.07,16.40,4.56,147267
2013,1500131,Abel Figueiredo,4.40,18.60,23.26,4.85,1.31,11.88,6.87,29.82,6.79,7013
2013,1500206,Acará,5.50,17.80,13.47,3.61,2.57,5.92,13.50,66.72,5.63,54030
2013,1500305,Afuá,18.00,27.10,11.42,1.75,0.22,20.90,6.00,35.82,7.24,36598
2013,1500347,Água Azul do Norte,12.10,30.40,36.84,2.12,0.34,19.66,9.29,41.28,22.28,25899
2013,1500404,Alenquer,6.40,18.30,28.42,4.59,0.94,12.68,8.68,50.93,4.90,54035
2013,1500503,Almeirim,5.30,15.20,19.89,3.01,8.19,6.64,11.34,13.33,32.69,33562
2013,1500602,Altamira,6.50,20.90,20.96,6.60,4.76,15.86,24.64,6.93,55.02,105106
2013,1500701,Anajás,7.80,22.70,19.02,2.49,0.26,4.97,4.86,26.98,7.39,26547
2013,1500800,Ananindeua,5.50,15.70,15.93,4.66,19.11,7.81,8.30,0.32,19.62,493976
2013,1500859,Anapu,12.20,26.60,20.72,4.57,0.22,12.73,7.44,34.45,8.97,23609
2013,1500909,Augusto Corrêa,5.00,22.00,14.29,4.18,0.25,14.63,4.98,34.93,4.14,42591
2013,1500958,Aurora do Pará,7.30,24.20,14.35,2.57,0.41,13.52,6.79,47.32,6.76,28441
2013,1501006,Aveiro,8.00,20.90,23.26,2.32,0.54,4.49,4.58,31.90,3.34,15959
2013,1501105,Bagre,6.70,14.90,13.04,1.09,0.23,1.58,4.44,37.02,3.53,26666
2013,1501204,Baião,7.80,12.90,13.16,2.04,0.30,8.93,5.25,37.44,4.36,41232
2013,1501253,Bannach,11.20,19.10,23.26,6.59,1.05,15.69,12.88,62.35,1.53,3340
2013,1501303,Barcarena,4.10,18.30,13.51,3.17,15.21,5.52,20.24,4.03,48.22,109975
2013,1501402,Belém,5.70,13.60,18.05,6.03,27.50,5.00,15.93,0.27,17.45,1425922
2013,1501451,Belterra,3.40,19.60,11.15,3.27,2.22,10.07,13.37,64.80,5.33,16808
2013,1501501,Benevides,7.00,16.10,12.87,5.11,7.49,4.07,13.75,1.62,46.56,56112
2013,1501576,Bom Jesus do Tocantins,6.00,16.40,4.35,3.20,0.96,12.26,5.58,36.57,2.77,15916
2013,1501600,Bonito,9.00,16.80,5.13,2.66,0.31,2.99,4.53,34.84,4.37,14689
2013,1501709,Bragança,3.90,13.60,19.17,4.92,1.71,9.41,6.90,34.35,5.95,118678
2013,1501725,Brasil Novo,3.50,12.60,11.15,5.10,0.75,15.52,8.67,41.92,3.78,15300
2013,1501758,Brejo Grande do Araguaia,4.10,16.60,10.53,3.29,0.47,25.38,5.70,33.85,2.73,7285
2013,1501782,Breu Branco,5.50,19.50,21.63,3.21,1.77,7.13,6.83,14.61,33.77,58033
