Brasil e Município;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Amendoim (em casca);Banana (cacho);Batata-doce;Batata-inglesa;Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Castanha de caju;Erva-mate (folha verde);Fava (em grão);Feijão (em grão);Girassol (em grão);Guaraná (semente);Juta (fibra);Malva (fibra);Mamona (baga);Mandioca;Manga;Melancia;Melão;Milho (em grão);Noz (fruto seco);Pimenta-do-reino;Soja (em grão);Sorgo (em grão);Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
Campinas do Piauí (PI);...;-;-;-;17214;-;-;-;-;-;-;...;-;-;-;160;-;-;-;-;-;12000;12000;-;-;750;-;-;-;-;-;-;-;-;-;-
Campo Alegre do Fidalgo (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;40;-;-;-;-;-;4000;-;-;-;27;-;-;-;-;-;-;-;-;-;-
Campo Grande do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;200;-;-;180;-;-;-;-;-;12000;-;-;-;240;-;-;-;-;-;-;-;-;-;-
Campo Largo do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;333;-;267;322;-;-;-;-;-;9000;-;-;-;1129;-;-;-;-;-;-;-;-;-;-
Campo Maior (PI);...;-;-;-;-;-;-;-;-;-;-;...;234;-;-;360;-;-;-;-;-;9000;-;25000;-;600;-;-;-;-;-;-;-;-;-;-
Canavieira (PI);...;-;-;-;-;-;-;-;-;-;-;...;279;-;500;418;-;-;-;-;-;10000;-;-;-;1300;-;-;-;-;-;-;-;-;-;-
Canto do Buriti (PI);...;-;-;-;15000;-;-;-;-;-;-;...;141;-;-;150;-;-;-;-;-;13500;-;22796;30000;360;-;-;-;-;-;-;-;-;-;-
Capitão de Campos (PI);...;-;-;-;-;-;-;-;-;-;-;...;271;-;-;180;-;-;-;-;-;7655;-;18900;-;830;-;-;-;-;-;-;-;-;-;-
Capitão Gervásio Oliveira (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;140;-;-;-;-;-;-;-;-;-;179;-;-;-;-;-;-;-;-;-;-
Caracol (PI);...;-;-;-;-;-;-;-;-;-;-;...;211;-;-;180;-;-;-;-;-;12000;-;-;-;1105;-;-;-;-;-;-;-;-;-;-
Caraúbas do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;395;-;-;321;-;-;-;-;-;10000;-;-;-;700;-;-;-;-;-;-;-;-;-;-
Caridade do Piauí (PI);...;-;301;-;-;-;-;-;-;-;-;...;-;-;-;495;-;-;-;-;-;-;-;-;-;481;-;-;-;-;23406;-;-;-;-;-
Castelo do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;189;-;-;260;-;-;-;-;-;10000;-;25000;-;927;-;-;-;-;-;-;-;-;-;-
Caxingó (PI);...;-;-;-;-;-;-;-;-;-;-;...;375;-;-;396;-;-;-;-;-;10000;-;17400;-;703;-;-;-;-;-;-;-;-;-;-
Cocal (PI);...;-;-;-;8000;-;-;-;-;-;-;...;350;-;375;280;-;-;-;-;-;11000;10000;-;-;700;-;-;3149;-;-;-;-;-;-;-
Cocal de Telha (PI);...;-;-;-;-;-;-;-;-;-;-;...;300;-;-;221;-;-;-;-;-;9344;-;18250;-;1041;-;-;-;-;-;-;-;-;-;-
